ESTADO,2015,2016,2017,2018,2019,2020,2021
11 Rondônia,63,54,62,42,43,54,54
12 Acre,19,23,34,35,32,27,28
13 Amazonas,115,116,115,127,118,85,135
14 Roraima,29,25,27,53,33,35,20
15 Pará,261,294,310,323,232,192,207
16 Amapá,18,17,27,15,17,22,19
17 Tocantins,48,45,38,47,36,35,39
21 Maranhão,148,159,127,122,114,140,131
22 Piauí,67,50,52,52,47,54,68
23 Ceará,254,218,374,475,220,318,335
24 Rio Grande do Norte,91,100,148,102,98,81,70
25 Paraíba,111,107,88,82,72,94,83
26 Pernambuco,233,282,309,240,204,223,245
27 Alagoas,95,101,111,67,90,89,64
28 Sergipe,70,60,77,40,53,43,37
29 Bahia,382,436,486,427,395,441,459
31 Minas Gerais,415,375,387,349,295,269,248
32 Espírito Santo,141,104,151,100,97,101,125
33 Rio de Janeiro,385,424,400,373,214,281,281
35 São Paulo,558,506,494,454,403,396,342
41 Paraná,244,238,246,211,204,197,194
42 Santa Catarina,97,107,109,91,114,86,92
43 Rio Grande do Sul,283,308,302,256,236,214,230
50 Mato Grosso do Sul,58,80,61,66,61,71,66
51 Mato Grosso,118,104,92,88,84,105,81
52 Goiás,255,238,255,220,161,134,145
53 Distrito Federal,58,64,46,55,55,35,46
 ,,,,,,,
